	영화명	감독	주연배우	평점	평가자수	상영시간
112	고양이: 죽음을 보는 두 개의 눈	변승욱	"['박민영', ' 김동욱', ' 김예론']"	5.07	1851	106
113	고지전	장훈	"['신하균', ' 고수', ' 이제훈', ' 류승수', ' 고창석', ' 이다윗', ' 류승룡', ' 김옥빈', ' 조진웅', ' 정인기', ' 박영서']"	8.68	11108	133
114	고질라: 킹 오브 몬스터	마이클 도허티	"['밀리 바비 브라운', ' 베라 파미가', ' 카일 챈들러']"	6.92	3418	132
115	곡성	나홍진	"['곽도원', ' 황정민', ' 쿠니무라 준', ' 천우희', ' 김환희']"	7.61	46393	156
116	곤지암	정범식	"['위하준', ' 박지현', ' 오아연', ' 문예원', ' 박성훈', ' 이승욱', ' 유제윤']"	6.39	16848	94
117	골든슬럼버	노동석	"['강동원', ' 김의성', ' 한효주', ' 김성균', ' 김대명']"	5.16	9599	108
118	곰돌이 푸 다시 만나 행복해	마크 포스터	"['헤일리 앳웰', ' 이완 맥그리거', ' 짐 커밍스', ' 마크 게티스']"	8.98	2829	104
119	공각기동대 : 고스트 인 더 쉘	루퍼트 샌더스	['스칼릿 조핸슨']	6.95	5053	107
120	공모자들	김홍선	"['임창정', ' 최다니엘', ' 오달수', ' 조윤희']"	7.02	6701	111
121	공범	국동석	['한기중']	7.16	4124	3
122	공범자들	최승호	"['이명박', ' 김재철', ' 김장겸', ' 고대영']"	9.09	5510	106
123	공수도	채여준	"['오승훈', ' 정다은', ' 손우현']"	8.75	654	112
124	공작	윤종빈	"['황정민', ' 이성민', ' 조진웅', ' 주지훈']"	6.83	22899	137
125	공조	김성훈	"['현빈', ' 유해진', ' 김주혁']"	8.27	25211	125
126	공포분자	에드워드 양	"['무건인', ' 이립군', ' 왕안']"	8.52	69	19
127	관능의 법칙	권칠인	"['엄정화', ' 문소리', ' 조민수']"	7.66	1705	108
128	관상	한재림	"['송강호', ' 이정재', ' 백윤식', ' 조정석', ' 이종석', ' 김혜수']"	8.01	14700	139
129	광대들: 풍문조작단	김주호	"['조진웅', ' 손현주', ' 박희순', ' 고창석', ' 김슬기', ' 윤박', ' 김민석']"	6.56	2214	108
130	광주비디오: 사라진 4시간	이조훈	"['민승연', ' 박상증', ' 고재형', ' 기춘']"	4.39	83	82
131	"광해, 왕이 된 남자"	추창민	"['이병헌', ' 류승룡', ' 한효주']"	9.25	28130	131
132	"괜찮아요, 미스터 브래드"	마이크 화이트	['벤 스틸러']	8.43	320	102
133	괴물들	김백준	"['이원근', ' 이이경', ' 박규영']"	3.38	243	102
134	괴물의 아이	호소다 마모루	"['야쿠쇼 코지', ' 미야자키 아오이', ' 소메타니 쇼타', ' 히로세 스즈', ' 야마지 카즈히로']"	8.53	1847	119
135	교회오빠	이호경	"['이관희', ' 오은주', ' 이소연']"	9.29	1807	85
136	"구름의 저편, 약속의 장소"	신카이 마코토	"['하기와라 마사토', ' 난리 유카', ' 요시오카 히데타카']"	6.93	116	90
137	구세주: 리턴즈	송창용	"['최성국', ' 송재하', ' 김성경', ' 정이연', ' 김보민']"	4.66	394	98
138	구스 베이비	크리스토퍼 젠킨스	"['전현무', ' 유아', ' 박성광', ' 짐 개피건', ' 젠데이아 콜먼', ' 랜스 임', ' 레지 와츠']"	8.8	235	89
139	구스범스	롭 레터맨	"['웬디 맥렌던 커비', ' 매디슨 아이스먼', ' 켄 정', ' 제레미 레이 테일러', ' 칼릴 해리스']"	7.19	212	90
140	구스범스: 몬스터의 역습	아리 산델	"['웬디 맥렌던 커비', ' 매디슨 아이스먼', ' 켄 정', ' 제레미 레이 테일러', ' 칼릴 해리스']"	7.19	212	90
141	국가대표 2	김종현	"['수애', ' 오달수', ' 오연서']"	8.66	5083	126
142	국가부도의 날	최국희	"['김혜수', ' 유아인', ' 허준호', ' 조우진', ' 뱅상 카셀']"	8.12	14736	114
143	국제수사	김봉한	"['곽도원', ' 김대명', ' 김희원', ' 김상호']"	4.65	3539	106
144	국제시장	윤제균	"['황정민', ' 김윤진', ' 오달수', ' 정진영']"	9.02	41812	126
